Opérateur,Nom de l’offre,Prix mise en service,Prix sim,Engagement,portable,Prix,Nbrede Giga,Appel/sms/mmsIllimité France,Appel/sms/mmsIllimité Europe,Nombre giga Europe,Appel/sms/mmsIllimité Internetionnal,Internet Internationnal
CORIALIS,APPEL SMS MMS EUROPE,0,0,true,true,49.99,100,true,true,12,false,false
CORIALIS,1H SMS MMS,0,0,true,true,12.99,"0,2",true,true,"0,2",false,false
CORIALIS,3H SMS MMS,0,0,true,true,14.99,"0,2",true,true,"0,2",false,false
CORIALIS,APPEL SMS MMS,0,0,true,true,19.99,"0,2",true,true,"0,2",false,false
CORIALIS,1H 300SMS 150MMS BLOQUE,0,0,true,true,9.80,"0,05",true,true,"0,05",false,false
CORIALIS,2H SMS MMS BLOQUE,0,0,true,true,13.80,"0,1",true,true,"0,1",false,false
CORIALIS,2H SMS MMS BLOQUE,0,0,true,true,19.80,3,true,true,3,false,false
CORIALIS,2H SMS MMS,0,0,false,false,3.99,"0,05",true,true,"0,05",false,false
CORIALIS,APPEL SMS MMS,0,0,false,false,19.99,50,true,true,50,false,false
CORIALIS,2H SMS MMS,0,0,false,false,9.99,5,true,true,5,false,false
CORIALIS,APPEL SMS MMS,0,0,false,false,14.99,20,true,true,20,false,false
PRIXTEL,L'ESSENTIEL 2H,0,10,false,false,2.00,"0,01",true,true,"0,01",false,false
PRIXTEL,L'ESSENTIEL 3H,0,10,false,false,3.90,"0,05",true,true,"0,02",false,false
PRIXTEL,L'ESSENTIEL 4H,0,10,false,false,5.99,"0,1",true,true,"0,1",false,false
PRIXTEL,L'ESSENTIEL 6H,0,10,false,false,7.99,"0,2",true,true,"0,2",false,false
PRIXTEL,LE COMPLET 5GO,0,10,false,false,9.99,5,true,true,2,false,false
PRIXTEL,LE COMPLET 15GO,0,10,false,false,14.99,15,true,true,5,false,false
PRIXTEL,LE COMPLET 50GO,0,10,false,false,19.99,50,true,true,"7,4",false,false
PRIXTEL,SPECIALE 10GO,0,10,false,false,12.99,10,true,true,"9,3",false,false
PRIXTEL,SPECIALE 50GO,0,10,false,false,18.99,50,true,true,"9,3",false,false
PRIXTEL,SPECIALE 100GO,0,10,false,false,24.99,100,true,true,"9,3",false,false
LA POSTE MOBILE,SIM 100MO,0,"9,90",false,false,3.99,"0,1",true,true,"0,1",false,false
LA POSTE MOBILE,SIM 100MO BLOQUE,0,"9,90",false,false,6.99,"0,1",true,true,"0,1",false
LA POSTE MOBILE,SIM 1GO,0,"9,90",false,false,9.99,1,true,true,1,false,false
LA POSTE MOBILE,SIM 60GO,0,"9,90",false,false,18.99,60,true,true,10,false,false
LA POSTE MOBILE,SIM WEB 5GO,0,"9,90",false,false,7.99,5,true,true,10,false,false
LA POSTE MOBILE,SIM WEB 10GO,0,"9,90",false,false,10.99,10,true,true,5,false,false
SOSH,2H,0,5,false,false,4.99,0.1,true,true,0.1,false,false
SOSH,2H BLOQUE,0,5,false,false,4.99,0.1,true,true,0.1,false,false
SOSH,100MO,0,5,false,false,9.99,0.1,true,true,0.1,false,false
SOSH,20GO,0,5,false,false,19.99,20,true,true,20,false,false
SOSH,50GO,0,5,false,false,24.99,50,true,true,50,true,false
CDISCOUNT,200M 200SMS 200MO,0,0,false,false,2.00,"0,2",true,true,0,false,false
CDISCOUNT,200MIN SMS 5GO,0,0,false,false,9.00,5,true,true,1,false,false
CDISCOUNT,APPEL SMS 40GO,0,0,false,false,15.00,40,true,true,5,false,false
CDISCOUNT,APPEL SMS 100GO,0,0,false,false,20.00,100,true,true,5,false,false
